id;name_eng;element_number;element_name;info;base_value;multiplayer;grade_of_execution;scores_of_panel;total_element_score;rank
id23;Adeliia PETROSIAN;8;3F;;5.83;x;0.61;6.44;89.5;3
id23;Adeliia PETROSIAN;9;3F+3T;;10.45;x;1.36;11.81;89.5;3
id23;Adeliia PETROSIAN;10;FCCoSp4;;3.5;;1.35;4.85;89.5;3
id23;Adeliia PETROSIAN;11;StSq4;;3.9;;1.17;5.07;89.5;3
id23;Adeliia PETROSIAN;12;CCoSp4;;3.5;;1.4;4.9;89.5;3
id1;Elizaveta TUKTAMYSHEVA;1;3A+2A+SЕQ;;11.3;;2.51;13.81;82.83;4
id1;Elizaveta TUKTAMYSHEVA;2;3A;;8.0;;2.4;10.4;82.83;4
id1;Elizaveta TUKTAMYSHEVA;3;3Lz+3T;;10.1;;1.94;12.04;82.83;4
id1;Elizaveta TUKTAMYSHEVA;4;2F;;1.8;;0.33;2.13;82.83;4
id1;Elizaveta TUKTAMYSHEVA;5;FCSp4;;3.2;;1.01;4.21;82.83;4
id1;Elizaveta TUKTAMYSHEVA;6;StSq4;;3.9;;1.28;5.18;82.83;4
id1;Elizaveta TUKTAMYSHEVA;7;2A+1Eu+3S;;8.91;x;1.35;10.26;82.83;4
id1;Elizaveta TUKTAMYSHEVA;8;3Lz;;6.49;x;1.94;8.43;82.83;4
id1;Elizaveta TUKTAMYSHEVA;9;3Lo<;<;4.31;x;-0.5;3.81;82.83;4
id1;Elizaveta TUKTAMYSHEVA;10;LSp3;;2.4;;0.65;3.05;82.83;4
id1;Elizaveta TUKTAMYSHEVA;11;ChSq1;;3.0;;1.86;4.86;82.83;4
id1;Elizaveta TUKTAMYSHEVA;12;CCoSp4;;3.5;;1.15;4.65;82.83;4
id9;Sofia MURAVIEVA;1;3A<;F;6.4;;-3.2;3.2;84.62;5
id9;Sofia MURAVIEVA;2;3A+2T;;9.3;;2.4;11.7;84.62;5
id9;Sofia MURAVIEVA;3;3Lo;;4.9;;1.47;6.37;84.62;5
id9;Sofia MURAVIEVA;4;3S;;4.3;;1.23;5.53;84.62;5
id9;Sofia MURAVIEVA;5;CCoSp4;;3.5;;1.15;4.65;84.62;5
id9;Sofia MURAVIEVA;6;ChSq1;;3.0;;1.57;4.57;84.62;5
id9;Sofia MURAVIEVA;7;3Lz+3T;;11.11;x;1.77;12.88;84.62;5
id9;Sofia MURAVIEVA;8;3F+2A+2A+SЕQ;;13.09;x;1.51;14.6;84.62;5
id9;Sofia MURAVIEVA;9;3Lz;;6.49;x;1.52;8.01;84.62;5
id9;Sofia MURAVIEVA;10;LSp4;;2.7;;1.0;3.7;84.62;5
id9;Sofia MURAVIEVA;11;StSq4;;3.9;;1.17;5.07;84.62;5
id9;Sofia MURAVIEVA;12;FCSp4;;3.2;;1.14;4.34;84.62;5
id2;Anastasia ZININA;1;4T;F;9.5;;-4.75;4.75;81.28;6
id2;Anastasia ZININA;2;4T+2T;;10.8;;2.44;13.24;81.28;6
id2;Anastasia ZININA;3;3Lo;;4.9;;1.12;6.02;81.28;6
id2;Anastasia ZININA;4;3S;;4.3;;0.98;5.28;81.28;6
id2;Anastasia ZININA;5;CCoSp4;;3.5;;0.85;4.35;81.28;6
id2;Anastasia ZININA;6;ChSq1;;3.0;;1.21;4.21;81.28;6
id2;Anastasia ZININA;7;3Lz+3T;;11.11;x;1.26;12.37;81.28;6
id2;Anastasia ZININA;8;3Lz+2A+2A+SЕQ;;13.75;x;1.18;14.93;81.28;6
id2;Anastasia ZININA;9;3F!;!;5.83;x;0.15;5.98;81.28;6
id2;Anastasia ZININA;10;FCSp4;;3.2;;0.82;4.02;81.28;6
id2;Anastasia ZININA;11;StSq3;;3.3;;0.99;4.29;81.28;6
id2;Anastasia ZININA;12;FCCoSp1V;nS;1.5;;0.34;1.84;81.28;6
