Client;Project;Task;Description;Billable;Start date;Start time;End date;End time;Duration;Tags;Amount ()
;;;;No;13.10.2021;12:43:04;13.10.2021;13:01:48;0:18:44;;
;;;;No;13.10.2021;13:02:10;13.10.2021;13:31:46;0:29:36;;
;;;;No;13.10.2021;14:15:32;13.10.2021;15:04:42;0:49:10;;
;;;;No;13.10.2021;15:15:47;13.10.2021;16:03:15;0:47:28;;
;;;;No;13.10.2021;16:23:24;13.10.2021;16:43:54;0:20:30;;
;;;;No;13.10.2021;16:45:47;13.10.2021;17:49:23;1:03:36;;
;;;;No;14.10.2021;10:34:19;14.10.2021;10:50:45;0:16:26;;
;;;;No;14.10.2021;10:50:52;14.10.2021;11:11:18;0:20:26;;
;;;;No;14.10.2021;11:37:50;14.10.2021;11:50:28;0:12:38;;
;;;;No;14.10.2021;11:57:11;14.10.2021;11:59:16;0:02:05;;
;;;;No;14.10.2021;11:59:17;14.10.2021;11:59:18;0:00:01;;
;;;;No;14.10.2021;11:59:18;14.10.2021;11:59:18;0:00:00;;
;;;;No;14.10.2021;11:59:19;14.10.2021;12:04:03;0:04:44;;
;;;;No;14.10.2021;12:26:20;14.10.2021;12:41:30;0:15:10;;
;;;;No;14.10.2021;13:01:40;14.10.2021;13:37:08;0:35:28;;
;;;;No;14.10.2021;15:32:55;14.10.2021;15:50:10;0:17:15;;
;;;;No;14.10.2021;16:29:52;14.10.2021;16:37:21;0:07:29;;
;;;;No;14.10.2021;17:07:46;14.10.2021;17:15:04;0:07:18;;
;;;;No;14.10.2021;17:15:11;14.10.2021;17:19:17;0:04:06;;
;;;;No;15.10.2021;9:30:55;15.10.2021;9:56:58;0:26:03;;
;;;;No;15.10.2021;10:34:36;15.10.2021;11:08:49;0:34:13;;
;;;;No;15.10.2021;12:22:51;15.10.2021;12:24:14;0:01:23;;
;;;;No;15.10.2021;12:28:50;15.10.2021;12:50:26;0:21:36;;
;;;;No;15.10.2021;13:00:36;15.10.2021;13:36:20;0:35:44;;
;;;;No;15.10.2021;13:38:11;15.10.2021;14:12:12;0:34:01;;
;;;;No;15.10.2021;14:12:27;15.10.2021;14:43:10;0:30:43;;
;;;;No;15.10.2021;15:02:25;15.10.2021;15:59:46;0:57:21;;
;;;;No;15.10.2021;15:59:47;15.10.2021;16:32:15;0:32:28;;
;;;;No;15.10.2021;16:32:17;15.10.2021;17:45:15;1:12:58;;
;;;;No;15.10.2021;17:57:28;15.10.2021;18:11:52;0:14:24;;
;;;;No;15.10.2021;18:38:46;15.10.2021;18:58:33;0:19:47;;
;;;;No;15.10.2021;19:06:13;15.10.2021;19:25:57;0:19:44;;
;;;;No;15.10.2021;21:08:09;15.10.2021;21:17:56;0:09:47;;
;;;;No;16.10.2021;9:40:05;16.10.2021;9:42:13;0:02:08;;
;;;;No;16.10.2021;9:42:57;16.10.2021;10:06:25;0:23:28;;
;;;;No;16.10.2021;10:06:27;16.10.2021;11:49:44;1:43:17;;
;;;;No;16.10.2021;12:07:42;16.10.2021;12:15:08;0:07:26;;
;;;;No;16.10.2021;12:56:16;16.10.2021;14:04:00;1:07:44;;
;;;;No;16.10.2021;14:08:20;16.10.2021;14:42:44;0:34:24;;
;;;;No;16.10.2021;15:14:59;16.10.2021;16:28:13;1:13:14;;
;;;;No;16.10.2021;17:46:01;16.10.2021;18:13:41;0:27:40;;
;;;;No;16.10.2021;18:13:46;16.10.2021;18:25:38;0:11:52;;
;;;;No;16.10.2021;18:25:43;16.10.2021;19:41:53;1:16:10;;
;;;;No;17.10.2021;18:30:22;17.10.2021;19:10:22;0:40:00;;
;;;;No;17.10.2021;20:57:49;17.10.2021;21:08:19;0:10:30;;
;;;;No;18.10.2021;9:13:57;18.10.2021;9:16:51;0:02:54;;
;;;;No;18.10.2021;10:24:24;18.10.2021;10:27:23;0:02:59;;
;;;;No;18.10.2021;10:29:41;18.10.2021;10:47:46;0:18:05;;
;;;;No;18.10.2021;10:54:21;18.10.2021;11:00:53;0:06:32;;
;;;;No;18.10.2021;11:00:54;18.10.2021;12:14:11;1:13:17;;
;;;;No;18.10.2021;12:21:18;18.10.2021;12:25:57;0:04:39;;
;;;;No;18.10.2021;12:40:07;18.10.2021;13:00:47;0:20:40;;
;;;;No;18.10.2021;13:00:52;18.10.2021;14:06:29;1:05:37;;
;;;;No;18.10.2021;14:06:31;18.10.2021;14:29:47;0:23:16;;
;;;;No;18.10.2021;14:54:25;18.10.2021;16:35:00;1:40:35;;
;;;;No;18.10.2021;16:57:02;18.10.2021;17:25:46;0:28:44;;
;;;;No;18.10.2021;17:25:50;18.10.2021;17:36:08;0:10:18;;
;;;;No;18.10.2021;17:37:41;18.10.2021;18:19:02;0:41:21;;
;;;;No;18.10.2021;18:20:09;18.10.2021;18:24:33;0:04:24;;
;;;;No;19.10.2021;9:12:53;19.10.2021;9:18:15;0:05:22;;
;;;;No;19.10.2021;9:31:45;19.10.2021;9:38:44;0:06:59;;
;;;;No;19.10.2021;9:43:32;19.10.2021;10:06:35;0:23:03;;
;;;;No;19.10.2021;10:09:30;19.10.2021;10:32:02;0:22:32;;
;;;;No;19.10.2021;10:48:08;19.10.2021;11:24:00;0:35:52;;
;;;;No;19.10.2021;11:24:40;19.10.2021;11:34:29;0:09:49;;
;;;;No;19.10.2021;11:38:39;19.10.2021;11:56:13;0:17:34;;
;;;;No;19.10.2021;12:00:42;19.10.2021;12:14:04;0:13:22;;
;;;;No;19.10.2021;12:27:52;19.10.2021;12:29:24;0:01:32;;
;;;;No;19.10.2021;12:35:40;19.10.2021;12:43:02;0:07:22;;
;;;;No;19.10.2021;13:06:23;19.10.2021;13:14:29;0:08:06;;
;;;;No;19.10.2021;14:18:25;19.10.2021;15:26:09;1:07:44;;
;;;;No;19.10.2021;15:26:28;19.10.2021;15:30:36;0:04:08;;
;;;;No;19.10.2021;15:41:10;19.10.2021;16:18:22;0:37:12;;
;;;;No;19.10.2021;16:20:40;19.10.2021;17:04:34;0:43:54;;
;;;;No;19.10.2021;17:05:13;19.10.2021;17:05:23;0:00:10;;
;;;;No;19.10.2021;17:05:44;19.10.2021;17:13:06;0:07:22;;
;;;;No;19.10.2021;17:13:28;19.10.2021;17:21:07;0:07:39;;
;;;;No;19.10.2021;17:21:25;19.10.2021;17:23:38;0:02:13;;
;;;;No;19.10.2021;17:23:48;19.10.2021;17:30:22;0:06:34;;
;;;;No;19.10.2021;17:30:30;19.10.2021;17:36:26;0:05:56;;
;;;;No;19.10.2021;17:41:16;19.10.2021;17:46:48;0:05:32;;
;;;;No;19.10.2021;17:47:43;19.10.2021;17:58:01;0:10:18;;
;;;;No;19.10.2021;18:01:09;19.10.2021;18:12:31;0:11:22;;
;;;;No;19.10.2021;19:33:23;19.10.2021;19:35:46;0:02:23;;
;;;;No;19.10.2021;19:36:01;19.10.2021;19:41:17;0:05:16;;
;;;;No;19.10.2021;19:49:20;19.10.2021;20:01:36;0:12:16;;
;;;;No;19.10.2021;20:07:25;19.10.2021;20:29:07;0:21:42;;
;;;;No;20.10.2021;9:00:40;20.10.2021;9:12:26;0:11:46;;
;;;;No;20.10.2021;9:30:46;20.10.2021;9:58:08;0:27:22;;
;;;;No;20.10.2021;9:58:34;20.10.2021;10:02:14;0:03:40;;
;;;;No;20.10.2021;10:02:39;20.10.2021;10:12:48;0:10:09;;
;;;;No;20.10.2021;10:12:49;20.10.2021;10:36:29;0:23:40;;
;;;;No;20.10.2021;16:28:32;20.10.2021;16:32:13;0:03:41;;
;;;;No;20.10.2021;17:18:47;20.10.2021;17:49:01;0:30:14;;
;;;;No;20.10.2021;17:57:14;20.10.2021;18:03:08;0:05:54;;
;;;;No;20.10.2021;18:03:45;20.10.2021;18:16:49;0:13:04;;
;;;;No;21.10.2021;9:42:10;21.10.2021;9:51:15;0:09:05;;
;;;;No;21.10.2021;9:51:36;21.10.2021;10:02:04;0:10:28;;
;;;;No;21.10.2021;10:02:07;21.10.2021;10:05:27;0:03:20;;
;;;;No;21.10.2021;10:11:44;21.10.2021;10:13:19;0:01:35;;
;;;;No;21.10.2021;10:13:32;21.10.2021;11:11:30;0:57:58;;
;;;;No;21.10.2021;11:11:33;21.10.2021;11:23:25;0:11:52;;
;;;;No;21.10.2021;14:17:35;21.10.2021;14:31:39;0:14:04;;
;;;;No;21.10.2021;14:31:43;21.10.2021;15:19:54;0:48:11;;
;;;;No;21.10.2021;15:50:56;21.10.2021;16:51:39;1:00:43;;
;;;;No;21.10.2021;16:57:16;21.10.2021;17:16:31;0:19:15;;
;;;;No;22.10.2021;8:58:46;22.10.2021;9:05:45;0:06:59;;
;;;;No;22.10.2021;9:07:36;22.10.2021;9:22:35;0:14:59;;
;;;;No;22.10.2021;10:03:18;22.10.2021;11:06:38;1:03:20;;
;;;;No;22.10.2021;11:31:45;22.10.2021;11:44:08;0:12:23;;
;;;;No;22.10.2021;11:46:18;22.10.2021;12:04:03;0:17:45;;
;;;;No;22.10.2021;12:04:04;22.10.2021;12:08:10;0:04:06;;
;;;;No;22.10.2021;12:08:29;22.10.2021;12:11:01;0:02:32;;
;;;;No;22.10.2021;12:11:11;22.10.2021;12:13:57;0:02:46;;
;;;;No;22.10.2021;12:16:09;22.10.2021;12:39:45;0:23:36;;
;;;;No;22.10.2021;12:40:16;22.10.2021;12:49:54;0:09:38;;
;;;;No;22.10.2021;12:49:57;22.10.2021;13:02:50;0:12:53;;
;;;;No;22.10.2021;13:32:19;22.10.2021;14:06:10;0:33:51;;
;;;;No;22.10.2021;14:10:32;22.10.2021;14:16:19;0:05:47;;
;;;;No;22.10.2021;15:03:09;22.10.2021;15:04:29;0:01:20;;
;;;;No;22.10.2021;15:04:31;22.10.2021;15:11:39;0:07:08;;
;;;;No;22.10.2021;15:11:49;22.10.2021;15:24:32;0:12:43;;
;;;;No;22.10.2021;15:24:54;22.10.2021;15:27:21;0:02:27;;
;;;;No;22.10.2021;15:25:24;22.10.2021;15:32:55;0:07:31;;
;;;;No;22.10.2021;15:32:57;22.10.2021;15:34:09;0:01:12;;
;;;;No;22.10.2021;16:15:55;22.10.2021;16:22:26;0:06:31;;
;;;;No;22.10.2021;17:00:28;22.10.2021;18:59:27;1:58:59;;
;;;;No;22.10.2021;19:22:19;22.10.2021;19:30:07;0:07:48;;
;;;;No;22.10.2021;19:31:22;22.10.2021;19:34:18;0:02:56;;
;;;;No;23.10.2021;13:19:59;23.10.2021;13:40:53;0:20:54;;
;;;;No;23.10.2021;13:41:24;23.10.2021;13:50:01;0:08:37;;
;;;;No;23.10.2021;22:04:25;23.10.2021;22:19:25;0:15:00;;
;;;;No;24.10.2021;2:44:07;24.10.2021;2:51:05;0:06:58;;
;;;;No;24.10.2021;2:51:12;24.10.2021;3:06:34;0:15:22;;
;;;;No;24.10.2021;3:05:59;24.10.2021;4:01:25;0:55:26;;
;;;;No;24.10.2021;4:02:14;24.10.2021;4:05:51;0:03:37;;
;;;;No;24.10.2021;4:06:57;24.10.2021;4:13:23;0:06:26;;
;;;;No;24.10.2021;4:13:34;24.10.2021;4:27:12;0:13:38;;
;;;;No;24.10.2021;4:35:48;24.10.2021;4:54:29;0:18:41;;
;;;;No;24.10.2021;4:54:45;24.10.2021;4:58:55;0:04:10;;
;;;;No;24.10.2021;13:01:45;24.10.2021;13:18:35;0:16:50;;
;;;;No;24.10.2021;13:19:21;24.10.2021;13:23:24;0:04:03;;
;;;;No;24.10.2021;13:56:36;24.10.2021;14:03:21;0:06:45;;
;;;;No;24.10.2021;14:05:35;24.10.2021;14:09:24;0:03:49;;
;;;;No;24.10.2021;14:11:42;24.10.2021;14:35:01;0:23:19;;
;;;;No;24.10.2021;14:52:49;24.10.2021;15:11:21;0:18:32;;
;;;;No;24.10.2021;15:25:37;24.10.2021;15:40:21;0:14:44;;
;;;;No;24.10.2021;15:47:20;24.10.2021;16:15:31;0:28:11;;
;;;;No;24.10.2021;16:22:18;24.10.2021;16:31:18;0:09:00;;
;;;;No;24.10.2021;16:45:45;24.10.2021;16:52:25;0:06:40;;
;;;;No;24.10.2021;18:29:43;24.10.2021;19:34:56;1:05:13;;
;;;;No;25.10.2021;6:00:38;25.10.2021;7:35:43;1:35:05;;
;;;;No;25.10.2021;7:59:01;25.10.2021;8:11:15;0:12:14;;
;;;;No;25.10.2021;8:12:27;25.10.2021;8:25:56;0:13:29;;
;;;;No;25.10.2021;8:58:31;25.10.2021;9:02:21;0:03:50;;
;;;;No;25.10.2021;9:06:41;25.10.2021;9:31:29;0:24:48;;
;;;;No;25.10.2021;9:15:07;25.10.2021;9:33:14;0:18:07;;
;;;;No;25.10.2021;9:34:30;25.10.2021;9:41:21;0:06:51;;
;;;;No;25.10.2021;9:41:28;25.10.2021;9:42:58;0:01:30;;
;;;;No;25.10.2021;9:50:37;25.10.2021;9:58:35;0:07:58;;
;;;;No;25.10.2021;10:02:51;25.10.2021;10:09:19;0:06:28;;
;;;;No;25.10.2021;10:09:22;25.10.2021;10:24:36;0:15:14;;
;;;;No;25.10.2021;10:26:22;25.10.2021;10:30:48;0:04:26;;
;;;;No;25.10.2021;10:31:50;25.10.2021;10:34:41;0:02:51;;
;;;;No;25.10.2021;10:34:45;25.10.2021;10:43:08;0:08:23;;
;;;;No;25.10.2021;10:44:09;25.10.2021;10:51:57;0:07:48;;
;;;;No;25.10.2021;10:54:28;25.10.2021;10:56:36;0:02:08;;
;;;;No;25.10.2021;10:56:48;25.10.2021;11:09:05;0:12:17;;
;;;;No;25.10.2021;11:09:16;25.10.2021;12:13:14;1:03:58;;
;;;;No;25.10.2021;15:24:12;25.10.2021;15:32:12;0:08:00;;
;;;;No;25.10.2021;15:42:26;25.10.2021;16:13:26;0:31:00;;
;;;;No;25.10.2021;16:35:24;25.10.2021;17:03:12;0:27:48;;
;;;;No;25.10.2021;17:10:35;25.10.2021;17:15:47;0:05:12;;
;;;;No;25.10.2021;17:26:04;25.10.2021;17:54:46;0:28:42;;
;;;;No;25.10.2021;17:54:51;25.10.2021;17:54:59;0:00:08;;
;;;;No;25.10.2021;17:55:03;25.10.2021;18:00:47;0:05:44;;
;;;;No;25.10.2021;18:00:48;25.10.2021;18:10:08;0:09:20;;
;;;;No;25.10.2021;18:10:12;25.10.2021;18:31:34;0:21:22;;
;;;;No;25.10.2021;18:31:39;25.10.2021;18:35:01;0:03:22;;
;;;;No;26.10.2021;9:51:47;26.10.2021;10:39:00;0:47:13;;
;;;;No;26.10.2021;10:51:49;26.10.2021;11:13:01;0:21:12;;
;;;;No;26.10.2021;11:53:18;26.10.2021;11:57:24;0:04:06;;
;;;;No;26.10.2021;12:13:50;26.10.2021;13:11:20;0:57:30;;
;;;;No;26.10.2021;13:27:03;26.10.2021;14:01:40;0:34:37;;
;;;;No;26.10.2021;14:05:27;26.10.2021;14:35:05;0:29:38;;
;;;;No;26.10.2021;16:26:22;26.10.2021;16:42:13;0:15:51;;
;;;;No;27.10.2021;9:41:02;27.10.2021;9:41:23;0:00:21;;
;;;;No;27.10.2021;9:43:32;27.10.2021;9:48:15;0:04:43;;
;;;;No;27.10.2021;11:20:28;27.10.2021;11:37:15;0:16:47;;
;;;;No;27.10.2021;14:45:29;27.10.2021;14:51:34;0:06:05;;
;;;;No;27.10.2021;16:56:14;27.10.2021;17:10:15;0:14:01;;
;;;;No;27.10.2021;17:30:10;27.10.2021;17:46:37;0:16:27;;
;;;;No;27.10.2021;17:47:06;27.10.2021;17:56:53;0:09:47;;
;;;;No;27.10.2021;18:01:19;27.10.2021;18:24:44;0:23:25;;
;;;;No;27.10.2021;18:26:52;27.10.2021;18:37:00;0:10:08;;
;;;;No;28.10.2021;10:00:00;28.10.2021;11:00:00;1:00:00;;
;;;;No;28.10.2021;12:14:14;28.10.2021;12:25:10;0:10:56;;
;;;;No;28.10.2021;12:42:04;28.10.2021;12:43:19;0:01:15;;
;;;;No;28.10.2021;13:28:48;28.10.2021;13:49:03;0:20:15;;
;;;;No;28.10.2021;13:54:03;28.10.2021;14:02:27;0:08:24;;
;;;;No;28.10.2021;15:10:08;28.10.2021;15:13:49;0:03:41;;
;;;;No;28.10.2021;15:17:56;28.10.2021;15:36:26;0:18:30;;
;;;;No;28.10.2021;15:44:12;28.10.2021;15:47:48;0:03:36;;
;;;;No;28.10.2021;15:48:57;28.10.2021;15:53:09;0:04:12;;
;;;;No;28.10.2021;16:00:34;28.10.2021;16:07:41;0:07:07;;
;;;;No;28.10.2021;16:11:26;28.10.2021;16:15:35;0:04:09;;
;;;;No;28.10.2021;16:26:40;28.10.2021;16:44:44;0:18:04;;
;;;;No;28.10.2021;16:48:47;28.10.2021;16:52:41;0:03:54;;
;;;;No;28.10.2021;17:06:31;28.10.2021;18:34:01;1:27:30;;
;;;;No;28.10.2021;19:27:42;28.10.2021;19:36:02;0:08:20;;
;;;;No;28.10.2021;19:37:25;28.10.2021;19:44:42;0:07:17;;
;;;;No;28.10.2021;20:49:19;28.10.2021;20:53:45;0:04:26;;
;;;;No;28.10.2021;21:34:35;28.10.2021;21:44:35;0:10:00;;
;;;;No;29.10.2021;8:43:23;29.10.2021;8:51:31;0:08:08;;
;;;;No;29.10.2021;8:51:32;29.10.2021;8:54:00;0:02:28;;
;;;;No;29.10.2021;8:55:06;29.10.2021;9:12:13;0:17:07;;
;;;;No;29.10.2021;9:21:09;29.10.2021;9:24:15;0:03:06;;
;;;;No;29.10.2021;9:25:34;29.10.2021;9:43:56;0:18:22;;
;;;;No;29.10.2021;9:43:57;29.10.2021;11:21:21;1:37:24;;
;;;;No;29.10.2021;11:22:16;29.10.2021;11:26:56;0:04:40;;
;;;;No;29.10.2021;11:27:01;29.10.2021;11:32:41;0:05:40;;
;;;;No;29.10.2021;11:34:28;29.10.2021;11:38:29;0:04:01;;
;;;;No;29.10.2021;12:06:50;29.10.2021;12:25:03;0:18:13;;
;;;;No;29.10.2021;12:34:55;29.10.2021;12:36:54;0:01:59;;
;;;;No;29.10.2021;12:38:32;29.10.2021;12:41:17;0:02:45;;
;;;;No;29.10.2021;12:44:11;29.10.2021;13:03:42;0:19:31;;
;;;;No;29.10.2021;13:37:38;29.10.2021;13:50:51;0:13:13;;
;;;;No;29.10.2021;14:49:40;29.10.2021;15:12:35;0:22:55;;
;;;;No;29.10.2021;15:30:11;29.10.2021;16:56:16;1:26:05;;
;;;;No;29.10.2021;17:03:40;29.10.2021;17:04:52;0:01:12;;
;;;;No;29.10.2021;17:22:04;29.10.2021;17:43:11;0:21:07;;
;;;;No;30.10.2021;15:08:24;30.10.2021;16:30:30;1:22:06;;
